# Table 2
# Stellar Properties
Source	SpT	A_V	log(T_*/K)	elog(T_*/K)	log(L_*/L_sun)	elog(L_*/L_sun)	log(M_*/M_sun)	elog(M_*/M_sun)	
[PBB2002]_J155624.8-222555	M4	0.69	0.36	3.514	0.019	-1.18	0.14	-0.66 (-0.14, +0.10)	
[PBB2002]_J155706.4-220606	M4	0.70	0.50^a	3.514	0.019	-1.44	0.14	-0.68 (-0.18, +0.09)	
[PBB2002]_J155729.9-225843	M4	0.70	0.50^a	3.514	0.019	-1.33	0.14	-0.69 (-0.14, +0.12)	
[PBB2002]_J155829.8-231007	M3	1.07	0.40	3.533	0.018	-1.31	0.14	-0.58 (-0.10, +0.12)	
[PZ99]_J160357.6-203105	K5	0.70	0.50^a	3.638	0.024	-0.17	0.14	0.01 (-0.05, +0.08)	
[PZ99]_J160421.7-213028	K2	0.66	0.27	3.690	0.016	-0.24	0.14	-0.02 (-0.04, +0.05)	
[PBB2002]_J160525.5-203539	M5	0.37	0.41	3.495	0.020	-1.37	0.14	-0.88 (-0.15, +0.17)	
[PBB2002]_J160532.1-193315	M5	0.19	0.42	3.495	0.020	-1.59	0.14	-1.01 (-0.06, +0.25)	
[PBB2002]_J160600.6-195711	M5	0.22	0.37	3.495	0.020	-1.20	0.14	-0.79 (-0.18, +0.11)	
ScoPMS_31	M0.5	0.98	0.26	3.577	0.020	-0.28	0.14	-0.31 (-0.09, +0.12)	
[PBB2002]_J160622.8-201124	M5	0.00	0.37	3.495	0.020	-1.39	0.14	-0.89 (-0.17, +0.15)	
[PBB2002]_J160643.8-190805	K6	0.72	0.25	3.624	0.015	-0.39	0.14	-0.04 (-0.05, +0.04)	
[PBB2002]_J160702.1-201938	M5	0.92	0.37	3.495	0.020	-1.49	0.14	-0.90 (-0.17, +0.15)	
[PBB2002]_J160823.2-193001	K9	1.05	0.29	3.593	0.023	-0.55	0.14	-0.13 (-0.16, +0.07)	
[PBB2002]_J160827.5-194904	M5	0.70	0.39	3.495	0.020	-1.16	0.14	-0.78 (-0.18, +0.12)	
[PBB2002]_J160900.0-190836	M5	0.42	0.35	3.495	0.020	-1.32	0.14	-0.84 (-0.20, +0.15)	
[PBB2002]_J160900.7-190852	K9	1.32	0.25	3.593	0.023	-0.38	0.14	-0.08 (-0.23, +0.04)	
[PBB2002]_J160959.4-180009	M4	0.56	0.36	3.514	0.019	-1.00	0.14	-0.59 (-0.17, +0.07)	
[PZ99]_J161411.0-230536	K2	0.48	0.25	3.690	0.030	0.41	0.14	0.20 (-0.07, +0.05)	
[PBB2002]_J161420.2-190648	K5	2.00	0.50^a	3.638	0.024	-0.29	0.14	0.01 (-0.07, +0.04)	
# Note: Photometry is not available to derive AV; the assumed value is listed (see the text).
