# Disk types used in Ansdell+2018
# TDs are resolved transition disks from mm imaging
Source,Disk
Sz65,II
Sz66,II
J15430131-3409153,F
J15430227-3444059,F
J15445789-3423392,II
J15450634-3417378,F
J15450887-3417333,II
Sz68,II
Sz69,II
Sz71,II
Sz72,II
Sz73,II
Sz74,II
Sz75,II
Sz76,II
Sz77,II
Sz81A,II
J15560210-3655282,II
Sz82,II
Sz83,II
Sz84,TD
Sz129,II
J15592523-4235066,II
RYLup,TD
J16000060-4221567,II
J16000236-4222145,II
J16002612-4153553,II
Sz130,II
MYLup,TD
Sz131,II
J16011549-4152351,II
EXLup,II
Sz133,II
Sz88A,II
Sz88B,II
J16070384-3911113,TD
J16070854-3914075,TD
Sz90,II
Sz91,TD
J16073773-3921388,II
Sz95,II
J16075475-3915446,F
J16080017-3902595,II
J16080175-3912316,II
Sz96,II
J16081497-3857145,II
Sz97,II
Sz98,II
Sz99,II
Sz100,TD
J160828.1-391310,II
Sz102,II
Sz103,II
J16083070-3828268,TD
Sz104,II
J160831.1-385600,F
V856Sco,II
V1094Sco,II
Sz106,II
Sz108B,II
J16084940-3905393,II
V1192Sco,II
Sz110,II
J16085324-3914401,II
J16085373-3914367,II
Sz111,TD
J16085529-3848481,II
Sz112,II
Sz113,II
J16085828-3907355,II
J16085834-3907491,II
J16090141-3925119,TD
Sz114,II
Sz115,II
J16091644-3904438,II
J16092032-3904015,II
J16092317-3904074,II
J16092697-3836269,II
J160934.2-391513,F
J16093928-3904316,II
Sz117,II
Sz118,TD
J16095628-3859518,II
J16100133-3906449,II
J16101307-3846165,F
J16101857-3836125,II
J16101984-3836065,II
J16102741-3902299,F
J16102955-3922144,TD
Sz123B,II
Sz123A,TD
J16115979-3823383,II
J16120445-3809589,F
J16124373-3815031,II
J16134410-3736462,II
