_2MASS	Name	sep_as	SpT	logMs	F_P16	F	dRA	dDE	FWHM	logMd
J10533978-7712338	--	--	M2	-0.41	4.60+/-0.79	3.74+/-0.16	-0.47+/-0.02	-0.04+/-0.01	--	0.24
J11023265-7729129	CHXR71	0.56	M3	-0.52	-0.21+/-0.82	-0.00+/-0.16	--	--	--	$<$-0.65
J11045701-7715569	T16	--	M3	-0.53	2.54+/-0.81	3.74+/-0.26	-0.34+/-0.02	-0.05+/-0.02	0.47x0.22	0.24
J11064510-7727023	CHXR20	28.46	K6	-0.03	0.53+/-0.82	0.93+/-0.16	-0.12+/-0.06	0.02+/-0.06	--	-0.36
J11070925-7718471	ISO91	--	M3	-0.52	0.06+/-0.82	0.65+/-0.17	0.34+/-0.09	-0.03+/-0.09	--	-0.51
J11071206-7632232	T24	--	M0	-0.23	4.23+/-0.81	6.57+/-0.25	-0.44+/-0.01	-0.04+/-0.01	0.33x0.11	0.49
J11071330-7743498	CHXR22E	--	M4	-0.63	0.42+/-0.81	2.23+/-0.16	-0.64+/-0.03	0.08+/-0.02	--	0.02
J11072825-7652118	T27	0.78	M3	-0.53	1.50+/-0.81	2.20+/-0.16	-0.15+/-0.03	-0.02+/-0.02	--	0.01
J11075809-7742413	T30	--	M3	-0.51	6.45+/-0.79	7.11+/-0.16	-0.37+/-0.01	0.00+/-0.01	--	0.52
J11080002-7717304	CHXR30A	0.46	K7	-0.18	-0.69+/-0.80	-0.07+/-0.15	--	--	--	$<$-0.67
J11085464-7702129	T38	--	M0.5	-0.18	3.90+/-0.79	4.03+/-0.16	-0.14+/-0.01	-0.11+/-0.01	--	0.28
J11091812-7630292	CHXR79	0.88	M0	-0.18	1.30+/-0.79	2.78+/-0.16	-0.26+/-0.02	0.09+/-0.02	--	0.12
J11122441-7637064	T51	1.97	K2	0.04	0.19+/-0.78	1.21+/-0.16	-0.39+/-0.05	-0.12+/-0.05	--	-0.24
J11124268-7722230	T54	0.24	K0	0.20	-0.02+/-0.79	-0.00+/-0.16	--	--	--	$<$-0.65
