Object	RA_J2000	DE_J2000	Cloud	Dist_pc	SpT	T_eff	A_V	L_star	M_star	Notes	Survey
J154518.5-342125	15:45:18.53	-34:21:24.8	I	152+/-4	M6.5	2935	0.0	0.04	0.09+/-0.02	1	Sanchis+19
SONYC-Lup3-7	16:08:59.53	-38:56:27.6	III	150+/-6	M8.5	2600	0.0	0.01	0.02+/-0.01	1,4	Sanchis+19
Lup706	16:08:37.30	-39:23:10.8	III	158.5	M7.5	2795	0.0	0.002	0.05+/-0.01	1,3,5	Sanchis+19
AKC2006-18	15:41:40.82	-33:45:19.0	I	149+/-8	M6.5	2935	0.0	0.01	0.07+/-0.02	1	Sanchis+19
SONYC-Lup3-10	16:09:13.43	-38:58:04.9	III	158.5	M8.8	2650	1.5	0.003	0.03+/-0.01	2,3	Sanchis+19
Lup818s	16:09:56.29	-38:59:51.7	III	157+/-3	M6	2990	0.0	0.02	0.09+/-0.02	1	Ansdell+16
J161019.8-383607	16:10:19.84	-38:36:06.8	III	159+/-3	M6.5	2935	0.0	0.04	0.09+/-0.02	1	Ansdell+16
J160855.3-384848	16:08:55.29	-38:48:48.1	III	158+/-3	M6.5	2935	0.0	0.05	0.09+/-0.02	1	Ansdell+16
Lup607	16:08:28.10	-39:13:10.0	III	175+/-6	M6.5	2935	0.0	0.05	0.10+/-0.02	1	Ansdell+16
Sz102	16:08:29.71	-39:03:11.0	III	158.5	K2	4900	0.7	0.01	-	1,3,5,6	vanTerwisga+19
V1094 Sco	16:08:36.18	-39:23:02.5	III	154+/-1	K6	4205	1.7	1.15	0.86+/-0.18	1	vanTerwisga+19
GQ Lup	15:49:12.10	-35:39:05.1	I	152+/-1	K6	4205	0.7	1.48	0.85+/-0.17	1	vanTerwisga+19
Sz76	15:49:30.74	-35:49:51.4	I	160+/-1	M4	3270	0.2	0.18	0.23+/-0.04	1	vanTerwisga+19
Sz77	15:51:46.96	-35:56:44.1	I	155+/-1	K7	4060	0.0	0.59	0.75+/-0.15	1	vanTerwisga+19
RXJ1556.1-3655	15:56:02.10	-36:55:28.3	II	158+/-1	M1	3705	1.0	0.26	0.5+/-0.14	1	vanTerwisga+19
EX Lup	16:03:05.49	-40:18:25.4	III	158+/-1	M0	3850	1.1	0.76	0.56+/-0.13	1	vanTerwisga+19
